Model,n_components,Transformer,Loss function,Class Weight,Penalty,Sensitivity,Specificity,T1P1,T1P0,T0P0,T0P1
RF,200,Count,hinge,balanced_subsample,l2,0.6875,0.9944382647385984,44.0,20.0,894.0,5.0
SVM,200,Count,hinge,balanced_subsample,l2,0.546875,0.9922135706340378,35.0,29.0,892.0,7.0
RF,200,Tfid,hinge,balanced_subsample,l2,0.703125,0.996662958843159,45.0,19.0,896.0,3.0
SVM,200,Tfid,hinge,balanced_subsample,l2,0.515625,0.9922135706340378,33.0,31.0,892.0,7.0
RF,300,Count,hinge,balanced_subsample,l2,0.625,0.996662958843159,40.0,24.0,896.0,3.0
SVM,300,Count,hinge,balanced_subsample,l2,0.625,0.9911012235817576,40.0,24.0,891.0,8.0
RF,300,Tfid,hinge,balanced_subsample,l2,0.640625,0.9944382647385984,41.0,23.0,894.0,5.0
SVM,300,Tfid,hinge,balanced_subsample,l2,0.5625,0.9922135706340378,36.0,28.0,892.0,7.0
RF,500,Count,hinge,balanced_subsample,l2,0.59375,0.9944382647385984,38.0,26.0,894.0,5.0
SVM,500,Count,hinge,balanced_subsample,l2,0.546875,0.9922135706340378,35.0,29.0,892.0,7.0
RF,500,Tfid,hinge,balanced_subsample,l2,0.671875,0.9977753058954394,43.0,21.0,897.0,2.0
SVM,500,Tfid,hinge,balanced_subsample,l2,0.640625,0.9911012235817576,41.0,23.0,891.0,8.0
RF,800,Count,hinge,balanced_subsample,l2,0.65625,0.9977753058954394,42.0,22.0,897.0,2.0
SVM,800,Count,hinge,balanced_subsample,l2,0.65625,0.9922135706340378,42.0,22.0,892.0,7.0
RF,800,Tfid,hinge,balanced_subsample,l2,0.609375,0.9977753058954394,39.0,25.0,897.0,2.0
SVM,800,Tfid,hinge,balanced_subsample,l2,0.609375,0.9933259176863182,39.0,25.0,893.0,6.0
RF,1000,Count,hinge,balanced_subsample,l2,0.546875,1.0,35.0,29.0,899.0,0.0
SVM,1000,Count,hinge,balanced_subsample,l2,0.640625,0.9955506117908788,41.0,23.0,895.0,4.0
RF,1000,Tfid,hinge,balanced_subsample,l2,0.578125,0.9988876529477196,37.0,27.0,898.0,1.0
SVM,1000,Tfid,hinge,balanced_subsample,l2,0.703125,0.9911012235817576,45.0,19.0,891.0,8.0
RF,1500,Count,hinge,balanced_subsample,l2,0.53125,0.9988876529477196,34.0,30.0,898.0,1.0
SVM,1500,Count,hinge,balanced_subsample,l2,0.75,0.9922135706340378,48.0,16.0,892.0,7.0
RF,1500,Tfid,hinge,balanced_subsample,l2,0.59375,0.9988876529477196,38.0,26.0,898.0,1.0
SVM,1500,Tfid,hinge,balanced_subsample,l2,0.65625,0.9955506117908788,42.0,22.0,895.0,4.0
